state, action, q_value
512, 0, -21.500287720973425
512, 1, -1.180833147067175
512, 2, -2.0041189
520, 0, -68.25460690930262
520, 1, -1.869
520, 2, -0.16384568770978414
524, 0, 1.0526315786138096
524, 1, -1.4
524, 2, 0.0
526, 0, 1.052631790068801
526, 1, -1.4
526, 2, 0.0
527, 0, 16.173297592677578
527, 1, 0.0
527, 2, 0.0
544, 0, 2.0355959273125
544, 1, 0.0
544, 2, 0.0
552, 0, 1.0393742625
552, 1, 0.0
552, 2, 0.0
558, 0, 1.0524646103299522
558, 1, 0.0
558, 2, 0.0
576, 0, 2.049730364387672
576, 1, 0.0
576, 2, 0.0
590, 0, 0.0
590, 1, 7.1216805625
590, 2, 0.0
1152, 0, 0.0
1152, 1, 2.0526315791580942
1152, 2, 0.0
1160, 0, 2.7886075
1160, 1, 0.0
1160, 2, 0.0
1164, 0, 0.7
1164, 1, 0.0
1164, 2, 0.0
1166, 0, 1.0393742625
1166, 1, 0.0
1166, 2, 0.0
1184, 0, 1.0481903779375001
1184, 1, 0.0
1184, 2, 0.0
1216, 0, 1.8173731712636756
1216, 1, 0.0
1216, 2, 0.0
1536, 0, 2.047914024204661
1536, 1, 0.0
1536, 2, 0.0
1544, 0, 1.5995
1544, 1, 0.0
1544, 2, 0.0
1550, 0, 0.9345
1550, 1, 0.0
1550, 2, 0.0
2176, 0, -1.7287103750000001
2176, 1, -1.084579195923455
2176, 2, -1.381655113781688
2177, 0, 6.236732748728126
2177, 1, 0.0
2177, 2, 0.0
2184, 0, 0.0
2184, 1, 0.0
2184, 2, -0.3656624999999998
2188, 0, -0.735
2188, 1, 4.83
2188, 2, 0.0
2190, 0, -0.735
2190, 1, -0.09344999999999996
2190, 2, -0.07000000000000006
2240, 0, 3.5
2240, 1, 0.0
2240, 2, 0.0
2304, 0, -1.3147297760629089
2304, 1, 5.986168263601583
2304, 2, -1.2156643776609062
2312, 0, -1.869
2312, 1, -67.92074125310707
2312, 2, -67.59792631642536
2336, 0, -1.4
2336, 1, -1.4
2336, 2, -1.4234499999999999
2344, 0, -1.4
2344, 1, -0.735
2344, 2, 2.00655
3200, 0, -24.346633532824136
3200, 1, -67.931990593205
3200, 2, -1.2985799274401737
3201, 0, -65.30999999999999
3201, 1, 17.991372794522988
3201, 2, 0.0
3208, 0, -1.4542163999999997
3208, 1, -1.7702278201119341
3208, 2, -1.435263157007503
3209, 0, 16.2302875
3209, 1, 0.0
3209, 2, 0.0
3212, 0, -1.869
3212, 1, -1.770243482938993
3212, 2, -67.73622345598606
3214, 0, -1.869
3214, 1, -1.7700878408464495
3214, 2, -1.4352993845972286
3232, 0, -1.4
3232, 1, -1.4234499999999999
3232, 2, -0.854326828069342
3244, 0, -1.4
3244, 1, -0.07000000000000006
3244, 2, 0.0
3264, 0, -1.3446286874999998
3264, 1, -1.4
3264, 2, -0.6350473980622646
3272, 0, -1.3005481103124996
3272, 1, -1.4
3272, 2, 0.0
3278, 0, -1.3446286874999998
3278, 1, -1.4
3278, 2, 0.138903258625433
